Test Case,Terminals,Nodes,Edges,Runtime (ms),Value,Opt,Ratio
instance001.gr,4,53,80,15,503,503,1
instance002.gr,5,2500,3125,72,115,111,1.03603603603604
instance003.gr,5,2500,5000,78,76,73,1.04109589041096
instance004.gr,5,2500,12500,95,34,34,1
instance005.gr,5,2500,62500,152,15,15,1
instance006.gr,6,55,82,3,557,557,1
instance007.gr,6,157,266,8,1267,1239,1.0225988700565
instance008.gr,6,307,526,16,1897,1885,1.00636604774536
instance009.gr,8,57,84,5,926,926,1
instance010.gr,8,64,288,5,2344,2338,1.00256629597947
instance011.gr,8,64,288,5,23,23,1
instance012.gr,9,160,269,21,1709,1703,1.00352319436289
instance013.gr,9,640,960,60,4192,4033,1.03942474584676
instance014.gr,9,640,960,58,3671,3588,1.02313266443701
instance015.gr,9,640,960,59,3438,3438,1
instance016.gr,9,640,960,66,4169,4000,1.04225
instance017.gr,9,640,960,62,4097,4006,1.02271592611083
instance018.gr,9,640,4135,52,2482,2392,1.0376254180602
instance019.gr,9,640,4135,46,2476,2465,1.00446247464503
instance020.gr,9,640,4135,48,2428,2399,1.01208837015423
instance021.gr,9,640,4135,46,2354,2171,1.08429295255643
instance022.gr,9,640,4135,45,2455,2347,1.04601619088198
instance023.gr,9,640,204480,208,2350,1749,1.34362492853059
instance024.gr,9,640,204480,211,2349,1756,1.3376993166287
instance025.gr,9,640,204480,208,2348,1754,1.33865450399088
instance026.gr,9,640,204480,207,2344,1751,1.33866362078812
instance027.gr,10,90,135,10,191,188,1.01595744680851
instance028.gr,10,169,280,22,277,275,1.00727272727273
instance029.gr,10,179,293,20,245,245,1
instance030.gr,10,286,465,49,374,374,1
instance031.gr,10,298,503,49,312,311,1.0032154340836
instance032.gr,10,311,530,56,2252,2248,1.00177935943061
instance033.gr,10,331,560,35,321,319,1.00626959247649
instance034.gr,10,541,906,77,457,457,1
instance035.gr,10,609,932,145,588,581,1.01204819277108
instance036.gr,10,632,1087,147,608,580,1.04827586206897
instance037.gr,10,777,1239,134,566,566,1
instance038.gr,10,816,1460,194,4289,4280,1.00210280373832
instance039.gr,10,875,1522,97,604,604,1
instance040.gr,10,957,1554,167,607,607,1
instance041.gr,10,898,1562,94,599,594,1.00841750841751
instance042.gr,10,938,1655,169,616,616,1
instance043.gr,10,918,1684,135,609,604,1.00827814569536
instance044.gr,10,1080,2015,121,561,561,1
instance045.gr,10,1290,2270,174,828,823,1.00607533414338
instance046.gr,10,2500,3125,458,227,214,1.0607476635514
instance047.gr,10,2500,5000,638,149,145,1.02758620689655
instance048.gr,10,3023,5575,1883,1589,1587,1.00126023944549
instance049.gr,10,3221,5938,2010,1571,1550,1.01354838709677
instance050.gr,10,5181,8893,4416,2082,2016,1.0327380952381
instance051.gr,10,2500,12500,751,68,67,1.01492537313433
instance052.gr,10,2500,62500,828,26,25,1.04
instance053.gr,11,128,227,33,1100364,1100361,1.00000272637798
instance054.gr,11,123,233,31,1100192,1100179,1.00001181625899
instance055.gr,11,191,302,28,311,311,1
instance056.gr,11,212,381,31,302,302,1
instance057.gr,11,237,390,35,362,353,1.02549575070822
instance058.gr,11,317,476,50,408,408,1
instance059.gr,11,278,478,46,564,564,1
instance060.gr,11,338,541,82,475,467,1.01713062098501
instance061.gr,11,353,608,37,350,350,1
instance062.gr,11,402,695,86,494,494,1
instance063.gr,11,572,963,165,623,621,1.00322061191626
instance064.gr,11,663,1154,140,506,506,1
instance065.gr,11,720,1269,168,513,508,1.00984251968504
instance066.gr,11,921,1558,220,647,640,1.0109375
instance067.gr,11,3675,6709,2294,6887,6673,1.03206953394275
instance068.gr,12,84,149,17,1200237,1200237,1
instance069.gr,12,64,192,12,3300,3271,1.0088657902782
instance070.gr,12,64,192,10,34,32,1.0625
instance071.gr,12,233,386,40,351,344,1.0203488372093
instance072.gr,12,313,532,84,2785,2752,1.01199127906977
instance073.gr,12,386,653,73,386,386,1
instance074.gr,12,539,985,81,468,468,1
instance075.gr,12,818,1462,382,5269,5250,1.00361904761905
instance076.gr,12,1704,2991,391,869,869,1
instance077.gr,12,1981,3633,1257,6655,6618,1.00559081293442
instance078.gr,12,3031,5239,1821,1290,1290,1
instance079.gr,12,4045,7094,1558,1459,1459,1
instance080.gr,12,4221,7255,3000,1595,1571,1.01527689369828
instance081.gr,13,110,188,38,1300799,1300798,1.00000076875887
instance082.gr,13,339,579,101,345,345,1
instance083.gr,13,346,583,118,460,457,1.00656455142232
instance084.gr,13,311,613,159,1300524,1300497,1.00002076129357
instance085.gr,13,125,750,18,22,20,1.1
instance086.gr,13,125,750,31,3685,3661,1.00655558590549
instance087.gr,13,125,750,24,36,36,1
instance088.gr,13,777,1358,327,640,630,1.01587301587302
instance089.gr,13,933,1632,203,550,550,1
instance090.gr,13,1128,1905,700,907,897,1.01114827201784
instance091.gr,13,1359,2458,652,724,714,1.0140056022409
instance092.gr,14,128,247,51,1400250,1400250,1
instance093.gr,14,165,274,50,1380,1348,1.02373887240356
instance094.gr,14,145,283,58,1400291,1400290,1.00000071413779
instance095.gr,14,418,723,119,399,399,1
instance096.gr,14,468,822,132,397,397,1
instance097.gr,14,1196,2084,532,745,745,1
instance098.gr,15,138,257,55,1500422,1500422,1
instance099.gr,15,193,369,109,1500418,1500405,1.0000086643273
instance100.gr,16,204,374,144,1600214,1600208,1.00000374951256
instance101.gr,16,311,579,288,1601199,1601190,1.00000562081952
instance102.gr,16,391,666,134,381,381,1
instance103.gr,16,402,690,156,393,393,1
instance104.gr,16,499,861,294,602,594,1.01346801346801
instance105.gr,16,712,1217,669,875,847,1.03305785123967
instance106.gr,16,52,1326,15,1069,1044,1.02394636015326
instance107.gr,16,837,1438,773,859,848,1.01297169811321
instance108.gr,16,822,1466,617,4631,4609,1.00477326968974
instance109.gr,16,1051,1791,1157,949,939,1.01064962726305
instance110.gr,16,1442,2403,1412,884,884,1
instance111.gr,16,1848,3286,1799,919,914,1.0054704595186
instance112.gr,16,2961,5100,4229,1451,1440,1.00763888888889
instance113.gr,16,6405,10454,17785,2275,2256,1.0084219858156
instance114.gr,16,7998,14734,24622,15817,15076,1.04915096842664
instance115.gr,17,122,194,32,210,210,1
instance116.gr,17,177,354,114,1700442,1700442,1
instance117.gr,17,220,374,39,254,254,1
instance118.gr,17,223,404,232,1700531,1700525,1.00000352832214
instance119.gr,17,310,514,125,370,370,1
instance120.gr,17,342,552,202,549,549,1
instance121.gr,17,343,559,191,470,454,1.0352422907489
instance122.gr,17,429,702,257,490,482,1.01659751037344
instance123.gr,17,2039,3548,2316,1134,1104,1.02717391304348
instance124.gr,17,2333,4137,4718,1410,1365,1.03296703296703
instance125.gr,18,211,380,251,1801471,1801464,1.0000038857285
instance126.gr,18,1005,1731,815,781,780,1.00128205128205
instance127.gr,18,1709,2963,2302,933,926,1.00755939524838
instance128.gr,18,2050,3676,3068,1019,1017,1.00196656833825
instance129.gr,18,3738,7013,6002,1598,1570,1.01783439490446
instance130.gr,19,119,206,103,1901451,1901446,1.0000026295777
instance131.gr,19,189,353,219,1900443,1900439,1.00000210477684
instance132.gr,20,245,454,389,2000275,2000271,1.00000199972904
instance133.gr,20,321,540,448,4244,4132,1.027105517909
instance134.gr,20,1989,3641,5839,8607,8405,1.02403331350387
instance135.gr,20,3683,6717,12387,9464,9143,1.03510882642459
instance136.gr,21,237,444,395,2100530,2100522,1.00000380857711
instance137.gr,21,529,1032,1453,2103309,2103283,1.00001236162704
instance138.gr,21,735,1256,1210,772,763,1.01179554390564
instance139.gr,21,770,1383,1111,750,750,1
instance140.gr,21,4640,8255,14188,1396,1376,1.01453488372093
instance141.gr,22,233,431,481,2200572,2200557,1.00000681645602
instance142.gr,22,294,568,659,2200403,2200394,1.00000409017658
instance143.gr,22,828,1472,1883,5992,5824,1.02884615384615
instance144.gr,22,4186,7074,17195,1976,1914,1.03239289446186
instance145.gr,23,132,230,214,2300245,2300245,1
instance146.gr,23,257,515,536,2300406,2300376,1.00001304134628
instance147.gr,23,3983,7108,7650,1495,1488,1.00470430107527
instance148.gr,24,262,487,684,2400629,2400623,1.00000249935121
instance149.gr,24,493,963,1887,2403351,2403332,1.00000790569093
instance150.gr,24,7231,13727,33156,2200,2173,1.01242521859181
instance151.gr,24,8007,14743,86135,18897,17803,1.06145031736224
instance152.gr,24,19083,35636,285351,24339,23765,1.02415316642121
instance153.gr,25,246,468,691,2500565,2500540,1.00000999784047
instance154.gr,25,422,808,1520,2500838,2500828,1.00000399867564
instance155.gr,25,58,1653,94,13682,13655,1.00197729769315
instance156.gr,25,1994,3646,11380,10127,9714,1.04251595635166
instance157.gr,25,2213,4135,5851,1102,1098,1.00364298724954
instance158.gr,25,2414,4386,5894,1438,1424,1.00983146067416
instance159.gr,25,3636,6789,9813,1362,1362,1
instance160.gr,25,5349,10086,24261,2022,1996,1.01302605210421
instance161.gr,25,640,40896,1275,7090,5199,1.36372379303712
instance162.gr,25,640,40896,1316,7075,5193,1.36241093780089
instance163.gr,25,640,40896,1333,7089,5194,1.36484405082788
instance164.gr,25,640,40896,1281,7094,5205,1.36292026897214
