Test Case,Terminals,Nodes,Edges,Runtime (ms),Value,Opt,Ratio
instance001.gr,4,53,80,3,503,503,1
instance002.gr,5,2500,3125,22,115,111,1.03603603603604
instance003.gr,5,2500,5000,26,78,73,1.06849315068493
instance004.gr,5,2500,12500,37,38,34,1.11764705882353
instance005.gr,5,2500,62500,121,15,15,1
instance006.gr,6,55,82,4,557,557,1
instance007.gr,6,157,266,5,1267,1239,1.0225988700565
instance008.gr,6,307,526,6,1911,1885,1.01379310344828
instance009.gr,8,57,84,3,932,926,1.00647948164147
instance010.gr,8,64,288,3,2344,2338,1.00256629597947
instance011.gr,8,64,288,4,23,23,1
instance012.gr,9,160,269,6,1776,1703,1.04286553141515
instance013.gr,9,640,960,11,4548,4033,1.12769650384329
instance014.gr,9,640,960,10,3782,3588,1.05406911928651
instance015.gr,9,640,960,11,3631,3438,1.05613728912158
instance016.gr,9,640,960,12,4175,4000,1.04375
instance017.gr,9,640,960,14,4658,4006,1.1627558662007
instance018.gr,9,640,4135,14,2745,2392,1.14757525083612
instance019.gr,9,640,4135,13,2655,2465,1.07707910750507
instance020.gr,9,640,4135,14,2574,2399,1.07294706127553
instance021.gr,9,640,4135,14,2464,2171,1.1349608475357
instance022.gr,9,640,4135,13,2455,2347,1.04601619088198
instance023.gr,9,640,204480,213,2350,1749,1.34362492853059
instance024.gr,9,640,204480,206,2349,1756,1.3376993166287
instance025.gr,9,640,204480,217,2348,1754,1.33865450399088
instance026.gr,9,640,204480,209,2344,1751,1.33866362078812
instance027.gr,10,90,135,4,196,188,1.04255319148936
instance028.gr,10,169,280,5,297,275,1.08
instance029.gr,10,179,293,6,250,245,1.02040816326531
instance030.gr,10,286,465,9,379,374,1.01336898395722
instance031.gr,10,298,503,8,321,311,1.03215434083601
instance032.gr,10,311,530,9,2304,2248,1.02491103202847
instance033.gr,10,331,560,8,334,319,1.04702194357367
instance034.gr,10,541,906,17,470,457,1.02844638949672
instance035.gr,10,609,932,23,628,581,1.08089500860585
instance036.gr,10,632,1087,22,628,580,1.08275862068966
instance037.gr,10,777,1239,20,571,566,1.00883392226148
instance038.gr,10,816,1460,32,4335,4280,1.01285046728972
instance039.gr,10,875,1522,15,604,604,1
instance040.gr,10,957,1554,27,632,607,1.04118616144975
instance041.gr,10,898,1562,14,609,594,1.02525252525253
instance042.gr,10,938,1655,23,626,616,1.01623376623377
instance043.gr,10,918,1684,32,623,604,1.03145695364238
instance044.gr,10,1080,2015,50,561,561,1
instance045.gr,10,1290,2270,51,862,823,1.04738760631835
instance046.gr,10,2500,3125,76,227,214,1.0607476635514
instance047.gr,10,2500,5000,98,159,145,1.09655172413793
instance048.gr,10,3023,5575,220,1604,1587,1.0107120352867
instance049.gr,10,3221,5938,299,1653,1550,1.06645161290323
instance050.gr,10,5181,8893,610,2155,2016,1.06894841269841
instance051.gr,10,2500,12500,110,69,67,1.02985074626866
instance052.gr,10,2500,62500,227,26,25,1.04
instance053.gr,11,128,227,7,1100377,1100361,1.00001454068256
instance054.gr,11,123,233,7,1100207,1100179,1.00002545040398
instance055.gr,11,191,302,8,315,311,1.01286173633441
instance056.gr,11,212,381,6,307,302,1.01655629139073
instance057.gr,11,237,390,12,376,353,1.06515580736544
instance058.gr,11,317,476,8,408,408,1
instance059.gr,11,278,478,9,574,564,1.0177304964539
instance060.gr,11,338,541,15,488,467,1.04496788008565
instance061.gr,11,353,608,15,350,350,1
instance062.gr,11,402,695,17,504,494,1.02024291497976
instance063.gr,11,572,963,31,635,621,1.02254428341385
instance064.gr,11,663,1154,23,511,506,1.0098814229249
instance065.gr,11,720,1269,30,513,508,1.00984251968504
instance066.gr,11,921,1558,27,682,640,1.065625
instance067.gr,11,3675,6709,309,6992,6673,1.04780458564364
instance068.gr,12,84,149,5,1200237,1200237,1
instance069.gr,12,64,192,4,3392,3271,1.03699174564353
instance070.gr,12,64,192,3,36,32,1.125
instance071.gr,12,233,386,6,366,344,1.06395348837209
instance072.gr,12,313,532,12,2785,2752,1.01199127906977
instance073.gr,12,386,653,10,391,386,1.01295336787565
instance074.gr,12,539,985,8,476,468,1.01709401709402
instance075.gr,12,818,1462,43,5314,5250,1.01219047619048
instance076.gr,12,1704,2991,82,879,869,1.01150747986191
instance077.gr,12,1981,3633,131,6668,6618,1.00755515261408
instance078.gr,12,3031,5239,127,1295,1290,1.00387596899225
instance079.gr,12,4045,7094,125,1465,1459,1.00411240575737
