Test Case,Terminals,Nodes,Edges,Runtime (ms),Value,Opt,Ratio
instance001.gr,16,6405,10454,15371,2275,2256,1.0084219858156
instance002.gr,16,7998,14734,21962,15817,15076,1.04915096842664
instance003.gr,24,8007,14743,72051,18897,17803,1.06145031736224
instance004.gr,24,19083,35636,270399,24339,23765,1.02415316642121
instance005.gr,30,8013,14749,133734,22398,21757,1.02946178241486
instance006.gr,31,19091,35644,513753,28622,27684,1.0338823869383
instance007.gr,34,38282,71521,3914151,47250,45018,1.04958016793283
instance008.gr,36,8017,14753,179168,21559,20678,1.04260566785956
instance009.gr,38,3803,6213,109214,15863033,15841596,1.00135320961348
instance010.gr,40,2363,3761,101429,13337443,13309487,1.00210045661414
instance011.gr,40,19100,35653,1064017,33688,31696,1.06284704694599
instance013.gr,50,550,5013,5804,6115,5616,1.08885327635328
instance014.gr,50,1000,13500,8300,95,68,1.39705882352941
instance015.gr,50,1000,13500,9092,145,124,1.16935483870968
instance016.gr,51,1991,3176,182346,14181650,14171206,1.00073698738131
instance017.gr,52,3716,6750,165944,18106,17560,1.03109339407745
instance018.gr,53,19112,35665,2433101,41453,39832,1.04069592287608
instance020.gr,60,838,1763,42165,6001170,6001164,1.00000099980604
instance021.gr,61,1331,19965,22006,116,82,1.41463414634146
instance022.gr,61,1331,19965,32606,16543,15437,1.07164604521604
instance023.gr,61,1331,19965,24149,177,151,1.17218543046358
instance024.gr,62,670,1316,37412,6201023,6201016,1.00000112884727
instance025.gr,64,512,2304,7742,117,94,1.24468085106383
instance026.gr,64,512,2304,13811,18796,16893,1.11265021014621
instance027.gr,64,1822,3610,131136,6400980,6400931,1.00000765513642
instance028.gr,66,2521,4858,187777,6600947,6600922,1.00000378734971
instance029.gr,67,987,1923,62054,6700805,6700776,1.00000432785695
instance030.gr,68,11543,18429,1384343,4008,3912,1.02453987730061
instance031.gr,74,1728,28512,58706,137,99,1.38383838383838
instance032.gr,74,1728,28512,89762,20260,18636,1.08714316376905
instance033.gr,74,1728,28512,62225,211,182,1.15934065934066
instance034.gr,75,729,1395,91176,7501040,7501020,1.00000266630405
instance035.gr,76,1761,3370,232986,7601075,7601028,1.00000618337414
instance036.gr,76,729,4368,28699,22156,20183,1.09775553683793
instance037.gr,78,2346,4656,404251,7801173,7801094,1.00001012678478
instance038.gr,79,833,1595,96121,7900494,7900444,1.00000632875823
instance039.gr,80,320,640,9409,23183,21517,1.07742715062509
instance040.gr,80,320,640,10594,23618,21415,1.10287181881859
instance041.gr,80,320,1845,8663,19742,18088,1.09144183989385
instance042.gr,80,320,1845,8152,19690,17987,1.09467949074331
instance043.gr,80,1491,2831,204669,8000890,8000849,1.00000512445617
instance044.gr,80,320,10208,12765,23050,16296,1.41445753559156
instance045.gr,80,320,10208,12989,23061,16228,1.42106236135075
instance046.gr,80,320,51040,20944,22733,15648,1.45277351738241
instance047.gr,80,320,51040,21048,22756,15649,1.45415042494728
instance048.gr,81,8062,14798,1758222,33806,32584,1.03750306899092
instance049.gr,83,3168,6220,533259,8300942,8300906,1.000004336876
instance051.gr,85,528,1017,1361441,8500836,8500739,1.00001141077264
instance052.gr,86,1360,2607,3737126,86000798,86000746,1.00000060464592
instance053.gr,88,743,1409,2880253,88001204,88001175,1.00000032954105
