Test Case,Terminals,Nodes,Edges,Runtime (ms),Value,Opt,Ratio
instance001.gr,16,6405,10454,6424,2292,2256,1.01595744680851
instance002.gr,16,7998,14734,8538,16072,15076,1.0660652693022
instance003.gr,24,8007,14743,18566,19157,17803,1.07605459753974
instance004.gr,24,19083,35636,70336,24511,23765,1.03139070061014
instance005.gr,30,8013,14749,28295,22870,21757,1.05115594980926
instance006.gr,31,19091,35644,110934,28889,27684,1.04352694697298
instance007.gr,34,38282,71521,362922,48238,45018,1.07152694477764
instance008.gr,36,8017,14753,24117,21710,20678,1.04990811490473
instance009.gr,38,3803,6213,14052,15893670,15841596,1.00328716879284
instance010.gr,40,2363,3761,13690,13337443,13309487,1.00210045661414
instance011.gr,40,19100,35653,131994,34246,31696,1.08045179202423
instance013.gr,50,550,5013,463,6419,5616,1.14298433048433
instance014.gr,50,1000,13500,637,95,68,1.39705882352941
instance015.gr,50,1000,13500,682,145,124,1.16935483870968
instance016.gr,51,1991,3176,16533,14183312,14171206,1.00085426744908
instance017.gr,52,3716,6750,13010,18249,17560,1.03923690205011
instance018.gr,53,19112,35665,177318,41682,39832,1.04644506929102
instance020.gr,60,838,1763,2369,6001175,6001164,1.00000183297774
instance021.gr,61,1331,19965,2245,117,82,1.42682926829268
instance022.gr,61,1331,19965,2929,16809,15437,1.08887737254648
instance023.gr,61,1331,19965,2170,178,151,1.17880794701987
instance024.gr,62,670,1316,3220,6201032,6201016,1.00000258022234
instance025.gr,64,512,2304,728,118,94,1.25531914893617
instance026.gr,64,512,2304,1090,19015,16893,1.12561415971112
instance027.gr,64,1822,3610,9545,6400999,6400931,1.00001062345462
instance028.gr,66,2521,4858,14156,6600995,6600922,1.00001105906114
instance029.gr,67,987,1923,5044,6700818,6700776,1.00000626793076
instance030.gr,68,11543,18429,79714,4048,3912,1.03476482617587
instance031.gr,74,1728,28512,3980,141,99,1.42424242424242
instance032.gr,74,1728,28512,5159,20421,18636,1.09578235672891
instance033.gr,74,1728,28512,4049,215,182,1.18131868131868
instance034.gr,75,729,1395,4639,7501061,7501020,1.0000054659233
instance035.gr,76,1761,3370,11353,7601117,7601028,1.00001170894253
instance036.gr,76,729,4368,1856,22796,20183,1.12946539166625
instance037.gr,78,2346,4656,19595,7801230,7801094,1.00001743345228
instance038.gr,79,833,1595,4374,7900498,7900444,1.00000683505889
instance039.gr,80,320,640,512,24778,21517,1.15155458474694
instance040.gr,80,320,640,663,24310,21415,1.13518561755779
instance041.gr,80,320,1845,563,23662,18088,1.30816010614772
instance042.gr,80,320,1845,564,23721,17987,1.31878578973703
instance043.gr,80,1491,2831,10813,8000895,8000849,1.00000574938985
instance044.gr,80,320,10208,845,23050,16296,1.41445753559156
instance045.gr,80,320,10208,898,23061,16228,1.42106236135075
instance046.gr,80,320,51040,2022,22733,15648,1.45277351738241
instance047.gr,80,320,51040,1266,22756,15649,1.45415042494728
instance048.gr,81,8062,14798,86152,34011,32584,1.04379450036828
instance049.gr,83,3168,6220,22284,8300959,8300906,1.00000638484522
instance051.gr,85,528,1017,3275,8500836,8500739,1.00001141077264
instance052.gr,86,1360,2607,11754,86000814,86000746,1.00000079069082
instance053.gr,88,743,1409,8139,88001204,88001175,1.00000032954105
